architecture,task_num,difficulty,run_number,temperature,retry_count
Hierarchical,283.1333333333333,2.466666666666667,1.0,0.2,2.0533333333333332
Sequential,283.1333333333333,2.466666666666667,1.0,0.2,1.0833333333333333
Single Agent,283.1333333333333,2.466666666666667,1.0,0.2,1.5333333333333334
